5-digit FIPS Code,County,State,2010 Prescribing Rate,State Abbreviation,Name,Release Year,Premature death raw value,Poor or fair health raw value,Poor physical health days raw value,Poor mental health days raw value,Low birthweight raw value,Adult smoking raw value,Adult obesity raw value,Binge drinking raw value,Motor vehicle crash deaths raw value,Chlamydia rate raw value,Teen births raw value,Uninsured adults raw value,Primary care provider rate per 100000 population,Ratio of population to primary care physicians,Preventable hospital stays raw value,Diabetes monitoring raw value,Hospice use raw value,High school graduation raw value,College degrees raw value,Unemployment raw value,Children in poverty raw value,Income inequality raw value,Inadequate social support raw value,Single-parent households raw value,Violent crime raw value,Homicides raw value,Air pollution-particulate matter days raw value,Air pollution-ozone days raw value,Access to healthy foods raw value,Liquor store density raw value
2122,"Kenai Peninsula, AK",AK,103.0,AK,Kenai Peninsula Borough,2010.0,8329.3,0.1386,3.81,3.2,0.0479,0.2253,0.294,0.1617,23.6,229.4,31.6,0.247,77.62920411,1288.175,66.21179754,0.8149,0.076502915,0.7003405220000001,0.202688926,0.08199999999999999,0.14300000000000002,40.7,0.1719,0.101420978,,3.6,,,0.466666667,1.149976042
2130,"Ketchikan Gateway, AK",AK,137.5,AK,Ketchikan Gateway Borough,2010.0,6466.9,0.1257,3.49,3.63,0.0611,0.2498,0.331,0.2218,9.5,500.6,41.3,0.163,121.6730038,821.875,76.19639727,0.8333,,0.62037037,0.201577953,0.059,0.118,38.1,0.2151,0.11150213,,7.4,,,0.333333333,2.996479137
2150,"Kodiak Island, AK",AK,62.2,AK,Kodiak Island Borough,2010.0,6370.4,0.0962,2.27,1.95,0.064,0.2197,0.266,0.2332,5.3,474.3,32.1,0.236,114.9425287,870.0,70.31383145,0.5909,,0.8140495870000001,0.187492366,0.07,0.09,39.2,0.2646,0.097875226,,0.0,,,0.125,0.769171602
2164,"Lake and Peninsula, AK",AK,–,AK,Lake and Peninsula Borough,2010.0,,0.1574,1.16,1.2,,,0.34,0.2325,79.2,387.6,53.4,0.237,0.0,-1548.0,,,,0.756756757,0.124362895,0.07200000000000001,0.251,45.1,,0.147959184,,17.6,,,0.0,0.0
2170,"Matanuska-Susitna, AK",AK,100.5,AK,Matanuska-Susitna Borough,2010.0,7801.6,0.1622,4.1,3.74,0.0615,0.2915,0.287,0.1431,23.6,295.7,34.1,0.212,53.34186803,1874.7,50.76835754,0.7596,0.325948511,0.7587354409999999,0.182637664,0.077,0.116,40.0,0.1646,0.106294999,,4.8,,,0.454545455,1.508712817
2180,"Nome, AK",AK,–,AK,Nome Census Area,2010.0,15301.8,0.1878,3.37,2.46,0.0627,0.4762,0.314,0.213,33.9,2185.0,89.2,0.134,63.98634958,1562.833333,129.8953578,,,0.472727273,0.147274207,0.105,0.285,42.6,0.3579,0.17564055,,10.8,,,0.5,2.152620816
2185,"North Slope, AK",AK,–,AK,North Slope Borough,2010.0,11553.8,0.1607,3.15,1.47,0.0603,0.4524,0.37,0.1483,42.7,1589.0,97.4,0.14300000000000002,88.26125331,1133.0,92.72121003,,,0.539473684,0.16997167100000002,0.043,0.165,36.5,,0.185395922,,12.2,,,0.5555555560000001,0.0
2188,"Northwest Arctic, AK",AK,–,AK,Northwest Arctic Borough,2010.0,14061.7,0.2084,4.05,1.93,0.0596,0.4707,0.322,0.1804,21.5,2503.0,91.7,0.115,40.68348251,2458.0,98.93078143,,,0.437837838,0.126929674,0.117,0.253,40.0,0.3651,0.214044944,,7.8,,,0.181818182,0.0
2195,"Petersburg, AK",AK,107.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,"Prince of Wales-Hyder, AK",AK,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,"Sitka, AK",AK,–,AK,Sitka Borough,2010.0,7570.0,0.1149,3.19,3.22,0.0386,0.1905,0.287,0.215,8.0,504.5,29.9,0.192,179.1913988,558.0625,124.3314331,0.4462,,0.7578125,0.295470756,0.058,0.105,39.4,0.1345,0.097315436,,0.0,,,1.0,2.221235007
2230,"Skagway, AK",AK,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,"Southeast Fairbanks, AK",AK,–,AK,Southeast Fairbanks Census Area,2010.0,7255.7,0.2093,4.63,2.94,0.0423,0.257,0.327,0.1454,37.9,118.1,33.6,0.264,30.91190108,3235.0,39.60858076,0.8636,,0.432432432,0.182236664,0.08800000000000001,0.196,42.6,0.1911,0.089609152,,7.1,,,0.25,4.466279589
2261,"Valdez-Cordova, AK",AK,61.4,AK,Valdez-Cordova Census Area,2010.0,8114.0,0.1528,3.9,3.28,0.0618,0.262,0.318,0.1645,27.2,263.4,31.1,0.236,61.14338123,1635.5,46.6078685,0.6667,,0.683168317,0.212234125,0.084,0.099,41.4,0.1914,0.099124614,,4.3,,,0.375,5.13294323
2270,"Wade Hampton, AK",AK,–,AK,Wade Hampton Census Area,2010.0,16087.5,0.3094,4.41,3.14,0.0648,0.3974,0.299,0.1127,17.7,2097.6,104.3,0.102,0.0,-7580.0,215.7319113,,,0.4148936170000001,0.090525633,0.201,0.363,41.0,0.5071,0.225343321,,5.9,,,0.666666667,0.0
2275,"Wrangell, AK",AK,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,"Yakutat, AK",AK,–,AK,Yakutat Borough,2010.0,,0.0894,1.94,3.68,,0.1734,0.287,,38.8,145.1,,0.229,0.0,-689.0,,,,0.916666667,0.176245211,0.075,0.162,41.0,,0.143396226,,19.4,,,1.0,0.0
2290,"Yukon-Koyukuk, AK",AK,–,AK,Yukon-Koyukuk Census Area,2010.0,15824.5,0.1745,4.11,2.54,0.0399,0.4485,0.294,0.2453,44.5,667.4,49.1,0.221,0.0,-5844.0,73.79791153,,,0.549407115,0.142433234,0.14300000000000002,0.314,45.0,0.3864,0.17236899100000005,,26.3,,,0.2,0.0
1001,"Autauga, AL",AL,151.7,AL,Autauga County,2010.0,9778.1,0.2586,5.48,4.14,0.0883,0.2814,0.3,0.1359,28.8,370.0,52.6,0.14,52.22477543,1914.8,91.80338349,0.8149,0.351167171,0.7151898729999999,0.206436271,0.046,0.138,40.7,0.2761,0.086621067,256.4870124,,4.0,0.0,0.25,0.407257326
1003,"Baldwin, AL",AL,143.8,AL,Baldwin County,2010.0,8221.7,0.1338,3.57,4.06,0.0877,0.2309,0.245,0.1785,23.6,245.9,48.6,0.209,70.74136955,1413.6,65.39129887,0.7916,0.43349751,0.670437018,0.263212263,0.041,0.153,44.5,0.1853,0.086006278,171.6232333,,4.0,3.0,0.423076923,0.77273781
1005,"Barbour, AL",AL,97.0,AL,Barbour County,2010.0,10686.1,0.2442,6.11,3.84,0.11,0.2268,0.364,0.0984,30.4,585.7,75.2,0.151,40.74426185,2454.333333,92.29719763,0.7968,0.638757875,0.5634218289999999,0.111869031,0.078,0.341,47.4,0.1069,0.143551616,64.00531007,,7.0,0.0,0.4,1.066666667
1007,"Bibb, AL",AL,58.9,AL,Bibb County,2010.0,13069.5,0.1817,4.22,5.31,0.0911,,0.317,0.0954,41.3,284.0,67.5,0.177,42.10526316,2375.0,96.79425552,0.7453,0.221292797,0.603833866,0.110008446,0.052000000000000005,0.242,39.8,,0.051257777,127.5807882,,4.0,0.0,0.5,0.468581604
1009,"Blount, AL",AL,60.1,AL,Blount County,2010.0,8929.7,0.2493,5.62,4.47,0.0726,0.2342,0.315,0.0614,28.6,85.1,57.0,0.208,19.98728082,5003.181818,102.0210634,0.7686,0.362454337,0.730134933,0.116181247,0.041,0.185,41.1,0.1016,0.071205959,93.78285387,,9.0,1.0,0.571428571,0.0
1011,"Bullock, AL",AL,53.8,AL,Bullock County,2010.0,15080.6,,4.99,2.84,0.1328,,0.373,0.0454,54.8,724.4,84.7,0.17,72.8929385,1371.875,117.3212405,0.7889,0.25446823,0.635036496,0.088261829,0.096,0.387,47.2,,0.175039048,,,13.0,0.0,0.25,0.93092534
1013,"Butler, AL",AL,117.5,AL,Butler County,2010.0,13492.3,0.2196,3.88,3.1,0.1066,0.2751,0.355,0.0933,37.3,633.5,65.9,0.145,44.25213885,2259.777778,177.4155524,0.7037,0.29871574,0.6855123679999999,0.122937294,0.077,0.342,43.9,,0.098212005,217.3769844,,5.0,0.0,0.4,0.494731114
1015,"Calhoun, AL",AL,182.5,AL,Calhoun County,2010.0,11526.2,0.2456,5.16,4.84,0.0935,0.2678,0.332,0.1213,28.0,535.0,60.1,0.133,85.65234072,1167.510417,102.4252607,0.7759,0.254999488,0.649849398,0.169942862,0.051,0.247,45.5,0.2172,0.103289291,535.1313114,,8.0,0.0,0.5,0.621095968
1017,"Chambers, AL",AL,150.3,AL,Chambers County,2010.0,10379.7,,4.24,4.89,0.1004,0.1748,0.35700000000000004,0.0958,27.6,634.0,71.3,0.134,56.86179739999999,1758.65,86.40359627,0.7806,0.416270635,0.636579572,0.101902061,0.132,0.246,40.2,,0.094842786,207.1638599,,7.0,0.0,0.75,0.861549065
1019,"Cherokee, AL",AL,165.6,AL,Cherokee County,2010.0,11164.4,0.3151,5.55,4.28,0.0872,0.2731,0.307,0.1495,26.0,152.8,72.1,0.183,28.84456898,3466.857143,117.1956905,0.8314,0.238764081,0.677710843,0.084845373,0.052000000000000005,0.29100000000000004,44.4,,0.08866308,31.35522746,,9.0,0.0,0.4,0.407730572
1021,"Chilton, AL",AL,114.7,AL,Chilton County,2010.0,12533.8,0.2322,5.67,5.12,0.0987,0.2692,0.339,0.1005,41.4,233.6,62.4,0.182,26.49963864,3773.636364,100.2681985,0.8231,0.353129242,0.712927757,0.101641099,0.045,0.243,45.5,0.2368,0.077478375,393.5282918,,5.0,0.0,0.857142857,0.7185628740000001
1023,"Choctaw, AL",AL,110.3,AL,Choctaw County,2010.0,10827.4,0.2496,6.58,4.02,0.1149,0.1716,0.361,0.0552,45.4,470.8,56.3,0.177,41.35934377,2417.833333,79.56612238,0.8603,0.480941197,0.658536585,0.106386469,0.075,0.29600000000000004,47.7,0.2469,0.110410439,20.92731247,,4.0,0.0,0.2,1.39275766
1025,"Clarke, AL",AL,166.6,AL,Clarke County,2010.0,10108.2,0.2828,3.42,2.43,0.105,0.2013,0.35100000000000003,0.1316,45.7,612.9,56.4,0.14300000000000002,52.35602094,1910.0,117.8272678,0.6683,0.491534014,0.662561576,0.134215168,0.08199999999999999,0.309,52.4,,0.081624154,98.7685191,,5.0,0.0,0.333333333,1.1215372540000002
1027,"Clay, AL",AL,127.2,AL,Clay County,2010.0,10353.6,0.2648,4.84,3.96,0.0928,0.2354,0.316,0.0602,20.3,404.9,61.4,0.182,36.10890446,2769.4,126.57564109999998,0.599,0.243950634,0.624338624,0.088157935,0.071,0.228,42.0,,0.08337531200000001,,,6.0,2.0,0.333333333,0.0
1029,"Cleburne, AL",AL,19.8,AL,Cleburne County,2010.0,10690.6,0.2459,5.47,4.64,0.09,,0.293,0.0963,29.0,163.3,72.3,0.17800000000000002,0.0,-14700.0,104.2900037,0.7718,0.334871235,0.6826347309999999,0.103839961,0.045,0.227,42.6,0.1504,0.072057741,232.3815659,,8.0,0.0,0.4,2.072682051
1031,"Coffee, AL",AL,134.0,AL,Coffee County,2010.0,9004.7,0.2032,3.82,4.26,0.0913,0.2353,0.325,0.1464,23.5,549.7,55.9,0.172,55.3599504,1806.36,112.0797093,0.8007,0.377321413,0.783519553,0.201986648,0.043,0.232,44.7,0.1828,0.105981899,162.0145014,,6.0,0.0,0.333333333,0.656886359
1033,"Colbert, AL",AL,209.6,AL,Colbert County,2010.0,10145.0,0.2009,4.48,4.7,0.1121,0.2954,0.35700000000000004,0.0858,25.6,443.7,53.6,0.149,56.98634166,1754.806452,98.00305553,0.8209,0.33091459999999995,0.684750733,0.157209302,0.058,0.239,43.5,0.2211,0.073678638,244.0128183,,5.0,1.0,0.5,2.017867298
1035,"Conecuh, AL",AL,187.8,AL,Conecuh County,2010.0,12893.3,0.1701,4.72,3.41,0.1219,0.1259,0.326,0.0423,41.1,276.1,59.5,0.157,37.94778385,2635.2,272.9323478,0.5984,0.412362845,0.572463768,0.104494079,0.084,0.366,47.5,,0.115753038,151.19824609999995,,2.0,0.0,0.166666667,2.249718785
1037,"Coosa, AL",AL,50.6,AL,Coosa County,2010.0,13313.0,0.229,2.58,2.18,0.1143,,0.345,0.042,37.5,489.0,53.1,0.185,9.120758847000001,10964.0,71.78017109999998,0.8431,0.460423163,0.510791367,0.090578308,0.07400000000000001,0.232,44.1,,0.092869163,274.5325321,,4.0,0.0,0.0,0.915918666
1039,"Covington, AL",AL,185.9,AL,Covington County,2010.0,10992.5,0.2238,2.99,3.17,0.08800000000000001,0.2807,0.316,0.1027,33.0,359.9,70.1,0.161,71.04989889,1407.461539,187.4370266,0.7308,0.313773265,0.693386774,0.136065123,0.053,0.311,45.8,0.1564,0.091349146,281.5906704,,5.0,0.0,0.333333333,1.900934173
1041,"Crenshaw, AL",AL,116.9,AL,Crenshaw County,2010.0,9564.5,0.2645,5.24,4.45,0.0932,,0.34600000000000003,,38.8,473.8,61.2,0.18600000000000005,29.53991581,3385.25,110.6253403,0.7347,0.24082339100000005,0.652941177,0.123895707,0.05,0.254,46.5,,0.103094636,180.12754980000003,,5.0,0.0,0.25,0.728969238
1043,"Cullman, AL",AL,178.8,AL,Cullman County,2010.0,9687.6,0.2119,4.41,5.29,0.0869,0.2653,0.294,0.0669,32.6,145.9,54.8,0.189,54.16845129,1846.093023,101.277209,0.8046,0.351204701,0.7392670159999999,0.131987691,0.043,0.193,45.6,0.1775,0.07914136299999999,173.124416,,6.0,0.0,0.5384615389999999,0.0
1045,"Dale, AL",AL,79.1,AL,Dale County,2010.0,9254.7,0.2611,4.33,3.73,0.0852,0.2781,0.331,0.1969,23.2,462.9,58.9,0.151,22.7653718,4392.636364,105.0942136,0.8041,0.422720921,0.641390205,0.147606125,0.048,0.241,41.4,0.1682,0.107870174,386.9181519,,6.0,0.0,0.444444444,0.416285072
1047,"Dallas, AL",AL,126.0,AL,Dallas County,2010.0,14642.6,0.2486,4.3,3.93,0.1192,0.1974,0.412,0.1126,32.0,1251.6,83.2,0.108,94.56155727,1057.512195,90.31516612,0.6674,0.241976747,0.56122449,0.141755134,0.101,0.42,50.5,0.3349,0.164140524,502.4118853,,4.0,0.0,0.5555555560000001,0.462085856
1049,"DeKalb, AL",AL,81.2,AL,DeKalb County,2010.0,9667.1,0.2165,4.41,4.9,0.0922,0.1968,0.317,0.1117,30.5,227.9,74.3,0.215,34.36939629,2909.5652170000008,106.35339170000002,0.7877,0.238207509,0.616321559,0.112849137,0.052000000000000005,0.261,45.8,0.2768,0.093628609,201.9412094,,3.0,0.0,0.35714285700000004,0.297406614
1051,"Elmore, AL",AL,113.4,AL,Elmore County,2010.0,9183.9,0.1777,4.17,3.15,0.0914,0.2169,0.285,0.1131,24.6,433.4,54.2,0.139,28.67246488,3487.666667,97.46664635,0.7677,0.321542383,0.630073801,0.181679451,0.046,0.162,40.3,0.1505,0.09786357,93.67722892,,5.0,0.0,0.5,0.397451014
1053,"Escambia, AL",AL,145.7,AL,Escambia County,2010.0,11908.0,0.2523,3.88,4.04,0.1097,0.2602,0.35200000000000004,0.0436,37.2,462.4,70.8,0.165,53.13213963,1882.1,138.0991975,0.7329,0.376119994,0.633986928,0.105685303,0.068,0.306,45.1,0.1925,0.117659529,453.69156060000006,,4.0,0.0,0.28571428600000004,0.532240466
1055,"Etowah, AL",AL,163.1,AL,Etowah County,2010.0,11597.6,0.2098,4.7,4.17,0.0898,0.2768,0.325,0.1381,23.1,470.2,60.5,0.156,71.14871055,1405.506849,106.6398734,0.7642,0.268017248,0.716294458,0.147720658,0.053,0.245,42.9,0.2478,0.1153998,300.3343528,,10.0,0.0,0.583333333,0.971713422
1057,"Fayette, AL",AL,46.7,AL,Fayette County,2010.0,11636.7,0.3152,7.06,6.1,0.0876,0.2186,0.33,0.0597,37.8,155.5,58.2,0.14,61.07039751,1637.4545460000004,85.08438597,0.7306,0.208958393,0.672985782,0.1014168,0.065,0.229,42.8,,0.082334558,125.2968788,,6.0,0.0,0.4,0.0
1059,"Franklin, AL",AL,197.5,AL,Franklin County,2010.0,10745.3,0.2474,8.08,4.74,0.0835,,0.298,0.0711,35.3,236.7,76.1,0.2,32.60196264,3067.3,132.2784463,0.8063,0.285519027,0.679545455,0.09896292,0.067,0.289,41.3,,0.09539042,144.11581669999995,,5.0,0.0,0.571428571,0.653018578
1061,"Geneva, AL",AL,29.9,AL,Geneva County,2010.0,9895.4,0.2651,4.97,3.04,0.0831,,0.32299999999999995,0.0837,32.4,216.5,55.7,0.187,35.1782364,2842.666667,120.136065,0.7638,0.448335656,0.65,0.08686913800000001,0.048,0.299,45.5,,0.07790066,218.0091097,,5.0,0.0,0.444444444,0.388394764
1063,"Greene, AL",AL,41.2,AL,Greene County,2010.0,14705.1,0.195,4.09,5.95,0.1394,,0.435,,35.5,832.1,75.9,0.151,42.22972973,2368.0,116.5500876,0.7397,0.300138036,0.44295302,0.117594333,0.076,0.435,53.5,,0.163483074,312.2644557,,4.0,0.0,0.166666667,1.0905125409999998
1065,"Hale, AL",AL,91.1,AL,Hale County,2010.0,11566.4,0.258,4.57,3.58,0.1157,,0.386,0.063,36.7,1305.1,57.5,0.146,33.48027454,2986.833333,90.34466053,0.7465,0.29430332,0.644268775,0.091647845,0.066,0.335,46.1,,0.144244456,331.7149105,,4.0,0.0,0.6,0.55769338
1067,"Henry, AL",AL,40.3,AL,Henry County,2010.0,11469.2,0.1769,3.57,3.67,0.1035,,0.333,0.0072,33.1,502.8,55.3,0.192,18.26595227,5474.666667,81.22293491,0.8612,0.542145376,0.509433962,0.154606697,0.069,0.276,45.3,0.1459,0.097431532,229.9360616,,8.0,0.0,0.4,1.210507203
1069,"Houston, AL",AL,192.6,AL,Houston County,2010.0,8718.4,0.206,3.81,5.14,0.0836,0.214,0.33,0.1188,20.1,678.4,59.8,0.141,102.5487641,975.1458332999997,82.37413244,0.8502,0.546617236,0.626477541,0.198475927,0.043,0.247,47.1,0.1965,0.113861386,408.9522085,,5.0,0.0,0.4166666670000001,0.734576517
1071,"Jackson, AL",AL,132.8,AL,Jackson County,2010.0,11120.5,0.2368,4.29,5.06,0.0925,0.3548,0.308,0.0627,35.5,161.9,54.9,0.157,71.80242995,1392.710526,145.69298600000005,0.7177,0.26232352,0.705438067,0.10523042,0.055,0.234,44.3,0.221,0.07113446,262.1668689,,1.0,0.0,0.315789474,0.75397723
1073,"Jefferson, AL",AL,138.0,AL,Jefferson County,2010.0,10811.5,0.1653,3.5,3.53,0.1118,0.2312,0.311,0.1464,18.4,934.8,50.9,0.131,155.06696069999995,644.882698,63.7499654,0.7871,0.396855821,0.633819379,0.279491709,0.048,0.21600000000000005,49.0,0.221,0.112716373,754.6553347999999,,39.0,22.0,0.377358491,0.7123619040000001
1075,"Lamar, AL",AL,46.5,AL,Lamar County,2010.0,8881.2,0.2511,5.76,5.39,0.0869,0.2202,0.298,,35.9,171.8,59.7,0.17,13.59896648,7353.5,97.76497353,0.6756,0.217339137,0.584210526,0.08760630400000001,0.073,0.255,44.0,0.1666,0.085588057,20.6332103,,5.0,0.0,0.5,0.0
1077,"Lauderdale, AL",AL,145.0,AL,Lauderdale County,2010.0,8790.0,0.1987,4.55,4.09,0.1022,0.1875,0.301,0.0831,23.9,314.0,39.7,0.175,61.75875202,1619.203704,90.09440119,0.8244,0.27891524300000003,0.705382436,0.195389534,0.051,0.253,46.5,0.1951,0.078356758,148.43649419999997,,4.0,0.0,0.545454546,0.7952195940000001
1079,"Lawrence, AL",AL,64.3,AL,Lawrence County,2010.0,11612.8,0.2609,4.37,4.43,0.0888,0.2684,0.321,0.0974,36.9,308.9,55.7,0.16699999999999998,20.41232905,4899.0,136.7752184,0.7979999999999999,0.326381286,0.731707317,0.092045938,0.058,0.21600000000000005,37.9,0.1997,0.089385475,112.215923,,5.0,0.0,0.6,0.0
1081,"Lee, AL",AL,74.3,AL,Lee County,2010.0,7790.0,0.1781,3.49,4.37,0.0812,0.2383,0.302,0.1747,17.0,448.4,26.5,0.227,63.82130036,1566.875,65.61296255,0.7868,0.485175824,0.6827253959999999,0.307755068,0.046,0.185,47.3,0.2029,0.107555287,295.97129910000007,,7.0,0.0,0.333333333,0.312419454
1083,"Limestone, AL",AL,75.3,AL,Limestone County,2010.0,8850.9,0.1612,4.08,3.78,0.0908,0.1936,0.277,0.075,32.3,276.1,58.2,0.162,45.85052728,2181.0,86.70664642,0.8367,0.27530561600000003,0.70109356,0.170084514,0.042,0.173,42.6,0.257,0.074912825,28.30639585,,4.0,0.0,0.25,0.27864079
1085,"Lowndes, AL",AL,16.7,AL,Lowndes County,2010.0,14888.3,,5.06,4.6,0.1242,,0.403,0.1582,50.9,1097.3,71.5,0.154,15.50628004,6449.0,71.95770218,0.7593,0.283517545,0.465217391,0.122436848,0.099,0.433,50.3,,0.152442294,435.383372,,5.0,0.0,0.2,0.78369906
1087,"Macon, AL",AL,55.7,AL,Macon County,2010.0,13670.8,0.2029,2.86,1.86,0.1152,0.1393,0.402,0.0995,25.7,991.4,36.0,0.13699999999999998,26.38986629,3789.333333,56.15430229,0.7311,0.4849152,0.5796610170000001,0.22708834100000005,0.067,0.38,49.7,0.1782,0.132183179,285.3088135,,7.0,0.0,0.28571428600000004,0.443301711
1089,"Madison, AL",AL,132.8,AL,Madison County,2010.0,8063.6,0.1366,3.51,3.32,0.0985,0.2067,0.309,0.1067,18.4,393.0,37.3,0.163,97.57819577,1024.819113,72.14503786,0.7703,0.281538186,0.72091131,0.38133123,0.037000000000000005,0.16399999999999998,44.4,0.2053,0.100135329,519.444895,,5.0,3.0,0.378378378,0.7836043840000001
1091,"Marengo, AL",AL,128.7,AL,Marengo County,2010.0,11361.7,0.2984,6.59,3.66,0.1184,0.1497,0.37,,33.9,938.6,55.0,0.142,56.06166784,1783.75,106.6112858,0.6268,0.396103164,0.667664671,0.140418422,0.067,0.281,51.6,0.213,0.129462676,357.9355403,,4.0,0.0,0.181818182,0.939364051
1093,"Marion, AL",AL,229.9,AL,Marion County,2010.0,12385.3,0.2341,4.33,4.34,0.0852,,0.293,0.0431,41.7,155.8,64.4,0.173,64.42206625,1552.263158,138.2586264,0.851,0.34096335,0.6964285709999999,0.096092825,0.07200000000000001,0.29600000000000004,45.9,0.2077,0.092118493,129.5701651,,5.0,0.0,0.833333333,0.0
1095,"Marshall, AL",AL,217.8,AL,Marshall County,2010.0,10774.0,0.1936,4.81,4.5,0.0849,0.2942,0.274,0.0957,29.3,173.2,90.8,0.18,64.47982368,1550.872727,113.0096835,0.772,0.24318469,0.579749104,0.148212774,0.042,0.303,46.8,0.1941,0.098286306,90.30704395,,4.0,0.0,0.666666667,1.272824049
1097,"Mobile, AL",AL,149.6,AL,Mobile County,2010.0,10753.8,0.2195,4.54,4.62,0.1153,0.2474,0.299,0.1403,24.3,671.8,62.2,0.147,96.64406618,1034.724675,83.30012493,0.7631,0.44966248,0.6031842,0.193685612,0.051,0.307,47.6,0.2352,0.128171134,401.7107566,,4.0,2.0,0.448275862,0.671478097
1099,"Monroe, AL",AL,122.5,AL,Monroe County,2010.0,10013.6,0.1915,5.35,4.07,0.1268,0.2113,0.362,0.0648,32.7,419.8,61.8,0.145,56.1094566,1782.2307690000002,140.6960725,0.7375,0.244875406,0.674556213,0.146939328,0.092,0.32,48.2,,0.122334811,,,4.0,0.0,0.28571428600000004,0.0
1101,"Montgomery, AL",AL,105.5,AL,Montgomery County,2010.0,10136.4,0.1788,3.64,3.33,0.1108,0.19,0.33,0.1168,18.7,1184.9,59.1,0.125,103.501035,966.173913,60.92498261,0.7785,0.30794115,0.487906589,0.30358877,0.053,0.275,49.6,0.2047,0.139124055,603.3021291,,4.0,1.0,0.25,0.886788186
